Lugar,Hora,Fecha,Indice UV,Algo,Humedad,Nubosidad,Viento-Medio,Presion,Visibilidad,Sensacion Termica,Punto de rocio,Niebla,Viento_racha,Cota Nieve,Viento_Medio,DirViento
Pepito,21/03/20,21:34:45,2,0,21%,38,,1015,35,25,0,0,45,4800,24,Sureste
Arzúa,21/04/20,19:43:04,0,0,94%,99,,1017,6,9,9,0,20,2900,10,Noroeste
Bertamiráns,21/04/20,19:43:07,0,0,90%,69,,1017,14,12,10,0,19,2800,8,Noroeste
Cascais,21/04/20,19:43:10,0,0,93%,61,,1018,12,8,9,0,29,2800,13,Norte
Corrubedo,21/04/20,19:43:13,0,0,84%,63,,1017,18,13,11,0,33,2700,20,Norte
Coruña,21/04/20,19:43:16,0,0,88%,83,,1017,9,13,11,0,28,3000,18,Noroeste
Ferrol,21/04/20,19:43:19,0,0,90%,90,,1017,7,13,11,0,26,3000,14,Noroeste
Lira,21/04/20,19:43:25,0,0,84%,52,,1018,25,13,11,0,30,2700,19,Norte
Lousame,21/04/20,19:43:29,0,0,91%,56,,1018,16,12,10,0,23,2700,7,Norte
Mañón,21/04/20,19:43:32,0,0,97%,10,,1017,5,8,9,0,25,3100,11,Oeste
Melide,21/04/20,19:43:35,0,0,93%,99,,1017,8,8,9,0,20,3000,10,Noroeste
Muxía,21/04/20,19:43:40,0,0,83%,77,,1018,25,13,10,0,34,2800,17,Norte
Outes,21/04/20,19:43:44,0,0,92%,54,,1018,14,12,11,0,26,2800,10,Norte
Pedrouzo,21/04/20,19:43:47,0,0,96%,98,,1017,6,8,9,0,30,3000,15,Noroeste
Compostela,21/04/20,19:43:52,0,0,91%,76,,1017,12,11,9,0,18,2800,9,Noroeste
Sope,21/04/20,19:43:55,0,0,98%,99,,1017,6,8,9,0,30,3000,14,Noroeste
Xesta,21/04/20,19:44:00,0,0,95%,97,,1017,6,10,9,0,31,3000,15,Noroeste
Andoin,21/04/20,19:44:05,0,0,99%,10,,1014,1,7,9,0,44,2700,15,Noroeste
Aramaio,21/04/20,19:44:08,0,0,98%,10,,1014,2,10,10,0,34,2600,11,Noroeste
Ayala,21/04/20,19:44:12,0,0,95%,98,,1015,7,10,9,0,29,2800,8,Noroeste
Landa,21/04/20,19:44:15,0,0,97%,10,,1014,3,8,9,0,29,2600,10,Noroeste
Llodio,21/04/20,19:44:20,0,0,94%,98,,1015,5,11,11,0,28,2700,9,Noroeste
Marieta-Larrinzar,21/04/20,19:44:24,0,0,98%,10,,1014,3,8,9,0,27,2600,9,Noroeste
Murua,21/04/20,19:44:28,0,0,96%,10,,1014,3,7,8,0,34,2700,13,Noroeste
Nafarrate,21/04/20,19:44:32,0,0,96%,10,,1014,3,7,8,0,30,2700,12,Noroeste
Buradón,21/04/20,19:44:36,0,0,93%,10,,1014,7,9,8,0,20,2600,7,Noroeste
Salvatierra,21/04/20,19:44:40,0,0,99%,10,,1014,1,7,9,0,37,2600,13,Noroeste
Txintxetru,21/04/20,19:44:44,0,0,99%,10,,1014,2,7,9,0,36,2600,13,Noroeste
Arana,21/04/20,19:44:48,0,0,98%,10,,1014,3,5,7,0,47,2700,16,Noroeste
Vitoria,21/04/20,19:44:51,0,0,94%,10,,1014,5,8,9,0,23,2700,9,Noroeste
